Iteración,Turbinas agregadas,Energia producida [MW],Tiempo de cálculo [s],Ruido receptor 1 [dB],Ruido receptor 2 [dB],Ruido receptor 3 [dB],Ruido receptor 4 [dB],Ruido receptor 5 [dB],Ruido receptor 6 [dB],Ruido receptor 7 [dB]
538,49,88490.8,7.6111006,33.65,34.83,38.97,38.45,30.51,20.37,20.07
539,49,88490.79999999999,7.4966842,33.5,34.53,39.43,38.51,30.55,20.39,20.09
540,49,88490.8,8.3806839,33.36,34.28,38.59,38.56,30.64,20.42,20.12
541,49,88490.79999999999,7.9370827,33.64,34.55,39.04,38.61,30.51,20.37,20.06
542,49,88490.79999999999,7.1527045,33.42,34.25,39.31,38.61,30.52,20.4,20.11
543,49,88490.8,7.1033846,33.47,34.53,39.34,38.59,30.56,20.4,20.1
544,49,88490.8,7.0005004,33.38,34.28,38.6,38.61,30.64,20.43,20.12
545,49,88490.8,7.3407966,33.62,34.55,38.96,38.61,30.44,20.37,20.07
546,49,88490.8,6.9851613,33.66,34.83,38.97,38.55,30.45,20.36,20.06
547,49,88490.80000000002,6.8097524,33.51,34.53,39.44,38.94,30.47,20.37,20.08
548,49,88490.8,7.3378947,33.37,34.34,38.59,38.68,30.55,20.4,20.1
549,49,88490.79999999999,6.837395,33.38,34.1,39.29,38.63,30.57,20.41,20.11
550,49,88490.8,6.8183233,33.32,33.91,38.6,38.54,30.65,20.43,20.13
551,49,88490.79999999999,6.7425206,33.56,34.12,38.97,38.56,30.58,20.41,20.11
552,49,88490.79999999999,6.7148111,33.61,34.35,39.01,38.49,30.62,20.41,20.1
553,49,88490.79999999999,7.4632696,33.42,34.07,39.37,38.6,30.63,20.42,20.11
554,49,88490.79999999999,6.7848503,33.28,33.84,38.51,38.6,30.65,20.44,20.13
555,49,88490.79999999999,6.7909309,33.52,34.09,38.88,38.57,30.58,20.41,20.11
556,49,88490.8,6.7309941,33.6,34.23,39.01,38.57,30.64,20.42,20.11
557,49,88490.8,6.7764083,33.65,34.42,39.12,38.89,30.61,20.4,20.09
558,49,88490.79999999999,7.0291975,33.68,34.7,39.07,38.51,30.57,20.39,20.08
559,49,88490.8,6.9026587,33.62,34.48,38.56,38.64,30.55,20.39,20.09
560,49,88490.8,7.3675353,33.77,34.75,39.31,38.52,30.63,20.41,20.1
561,49,88490.79999999999,7.4015319,33.48,35.04,39.24,38.36,30.49,20.36,20.06
562,49,88490.79999999999,8.5433012,33.34,34.76,38.48,38.5,30.6,20.39,20.08
563,49,88490.8,7.3858938,33.62,34.94,38.44,38.37,30.53,20.37,20.07
564,49,88490.8,7.3555272,33.69,35.25,38.99,38.24,30.57,20.38,20.08
565,49,88490.8,7.4471578,33.65,35.57,38.36,38.32,30.45,20.34,20.04
566,49,88490.79999999999,8.4507972,33.79,35.89,39.11,38.33,30.5,20.34,20.03
567,49,88490.8,14.1046455,33.57,35.51,39.38,38.37,30.49,20.35,20.05
568,49,88490.8,7.3287531,33.46,35.23,38.63,38.46,30.61,20.4,20.09
569,49,88490.8,7.3919996,33.69,35.56,38.97,38.49,30.55,20.39,20.08
570,49,88490.79999999999,7.2754825,33.8,35.93,39.11,38.57,30.56,20.37,20.05
571,49,88490.8,7.2325185,33.71,35.59,38.57,38.74,30.59,20.38,20.06
572,49,88490.8,7.216146,33.79,35.93,39.11,38.36,30.55,20.38,20.07
573,49,88490.8,7.5359853,33.6,35.56,39.47,38.47,30.6,20.39,20.08
574,49,88490.79999999999,7.6148068,33.5,35.24,38.73,38.52,30.62,20.41,20.1
575,49,88490.8,7.4193125,33.7,35.57,38.97,38.52,30.53,20.37,20.06
576,49,88490.8,8.2974125,33.51,35.22,39.35,38.47,30.61,20.4,20.09
577,49,88490.8,8.1275958,33.45,34.94,38.7,38.52,30.63,20.42,20.11
578,49,88490.8,7.1351649,33.46,35.26,38.23,38.63,30.56,20.39,20.08
579,49,88490.8,7.1986495,33.62,35.53,38.13,38.68,30.56,20.38,20.06
580,49,88490.8,6.9535147,33.58,35.79,38.57,38.47,30.61,20.39,20.08
581,49,88490.8,6.8523879,33.53,36.12,38.18,38.46,30.57,20.38,20.07
582,49,88490.79999999999,7.2086881,33.72,36.56,38.24,38.45,30.44,20.33,20.03
583,49,88490.8,7.0220407,33.83,36.26,38.65,38.34,30.39,20.32,20.02
584,49,88490.79999999999,7.3484437,33.91,36.68,39.25,38.21,30.43,20.32,20.01
585,49,88490.79999999999,6.7505199,33.79,36.28,38.61,38.39,30.47,20.35,20.04
586,49,88490.8,6.9698773,33.67,35.92,38.09,38.51,30.61,20.39,20.08
587,49,88490.79999999999,7.7249936,33.75,36.27,38.48,38.36,30.52,20.37,20.06
588,49,88490.8,7.3339308,33.91,36.68,39.25,38.22,30.42,20.33,20.03
589,49,88490.8,6.7465808,33.74,36.26,39.69,38.32,30.6,20.38,20.07
590,49,88490.79999999999,6.9131712,33.6,35.88,38.86,38.49,30.61,20.4,20.08
591,49,88490.8,7.1474111,33.57,35.52,39.44,38.46,30.47,20.37,20.08
592,49,88490.8,6.7803967,33.44,35.21,38.62,38.5,30.63,20.41,20.1
593,49,88490.8,7.1043934,33.67,35.55,38.96,38.57,30.52,20.38,20.07
594,49,88490.79999999999,7.3812842,33.77,35.92,39.09,38.44,30.61,20.4,20.09
595,49,88490.8,6.8931957,33.76,36.27,39.0,38.44,30.54,20.37,20.06
596,49,88490.8,7.0620529,33.63,35.95,39.47,38.6,30.51,20.36,20.06
597,49,88490.8,7.3351694,33.59,35.6,38.87,38.55,30.61,20.4,20.09
598,49,88490.8,7.4441655,33.77,35.67,39.08,38.46,30.49,20.36,20.05
599,49,88490.8,7.649107,33.77,36.06,39.0,38.59,30.61,20.39,20.07
600,49,88490.79999999999,7.3417588,33.86,36.44,39.12,38.42,30.49,20.35,20.04
601,49,88490.8,7.7226546,33.73,36.09,38.46,38.61,30.52,20.36,20.05
602,49,88490.8,8.3494952,33.83,36.43,39.09,38.31,30.6,20.38,20.07
603,49,88490.8,7.6341685,33.52,36.05,39.12,38.56,30.53,20.36,20.06
604,49,88490.79999999999,7.5060154,33.41,35.74,38.46,38.48,30.51,20.36,20.05
605,49,88490.8,7.475146,33.77,35.92,38.6,38.38,30.61,20.39,20.08
606,49,88490.79999999999,7.4687402,33.89,36.29,39.34,38.37,30.54,20.37,20.07
607,49,88490.8,7.7573028,33.74,35.95,38.57,38.33,30.61,20.39,20.09
608,49,88490.79999999999,7.4186056,33.81,36.28,39.1,38.38,30.55,20.38,20.07
609,49,88490.79999999999,8.0052684,33.66,35.89,39.5,38.57,30.47,20.37,20.07
610,49,88490.79999999999,7.656886,33.55,35.6,38.76,38.52,30.62,20.4,20.1
611,49,88490.8,7.6204954,33.75,35.95,39.0,38.56,30.48,20.35,20.05
612,49,88490.8,7.6419827,33.83,36.34,39.12,38.43,30.61,20.39,20.07
613,49,88490.79999999999,7.8982083,33.84,36.74,39.03,38.23,30.59,20.38,20.07
614,49,88490.8,7.2143194,33.6,36.34,38.69,38.33,30.6,20.38,20.08
615,49,88490.79999999999,7.1971035,33.64,35.97,39.47,38.47,30.46,20.36,20.06
616,49,88490.79999999999,7.4604546,33.57,35.65,38.84,38.4,30.62,20.4,20.1
617,49,88490.8,7.3788951,33.79,35.95,39.08,38.37,30.51,20.36,20.06
618,49,88490.8,7.6603376,33.54,35.62,39.34,38.4,30.61,20.4,20.09
619,49,88490.79999999999,7.6439075,33.61,35.97,39.38,38.36,30.61,20.39,20.09
620,49,88490.8,7.5276177,33.5,35.62,38.63,38.66,30.55,20.39,20.09
621,49,88490.79999999999,7.2617825,33.63,35.96,39.46,38.47,30.6,20.39,20.07
622,49,88490.79999999999,8.0378707,33.53,35.64,38.72,38.43,30.62,20.4,20.1
623,49,88490.8,9.1921539,33.78,35.97,39.08,38.46,30.51,20.36,20.06
624,49,88490.8,7.9422354,33.68,35.66,38.42,38.45,30.53,20.37,20.06
625,49,88490.8,8.2026718,33.77,35.98,39.07,38.43,30.51,20.36,20.07
626,49,88490.8,8.6907302,33.59,35.63,39.45,38.43,30.53,20.37,20.06
627,49,88490.8,8.3392126,33.46,35.32,38.61,38.53,30.52,20.38,20.08
628,49,88490.79999999999,8.0481497,33.69,35.64,38.96,38.37,30.61,20.39,20.09
629,49,88490.79999999999,8.9178855,33.51,35.3,39.33,38.56,30.54,20.38,20.08
630,49,88490.8,8.050372,33.41,35.02,38.57,38.53,30.63,20.41,20.11
631,49,88490.8,7.9176559,33.69,35.32,39.03,38.55,30.47,20.37,20.07
632,49,88490.8,7.5481661,33.63,35.06,38.48,38.53,30.63,20.41,20.1
633,49,88490.8,8.7048898,33.71,35.32,39.03,38.58,30.45,20.35,20.05
634,49,88490.8,8.451535,33.55,35.02,39.49,38.53,30.56,20.38,20.07
635,49,88490.8,10.1141489,33.44,34.76,38.74,38.5,30.63,20.42,20.12
636,49,88490.79999999999,9.8489264,33.63,35.03,38.99,38.52,30.57,20.4,20.1
637,49,88490.8,9.7236314,33.49,34.74,39.44,38.72,30.62,20.41,20.09
