Iteración,Turbinas agregadas,Energia producida [MW],Tiempo de cálculo [s],Ruido receptor 1 [dB],Ruido receptor 2 [dB],Ruido receptor 3 [dB],Ruido receptor 4 [dB],Ruido receptor 5 [dB],Ruido receptor 6 [dB],Ruido receptor 7 [dB]
515,39,72801.0,6.6617482,31.64,33.3,34.4,35.74,37.44,30.79,36.3
516,39,72801.0,6.7674362,31.58,33.3,34.28,35.78,37.18,30.75,36.29
517,39,72801.0,6.7428196,31.69,33.36,34.39,35.83,37.2,30.88,36.02
518,39,72801.0,6.6542737,31.72,33.35,34.45,35.73,37.48,30.79,36.3
519,39,72801.0,6.7912891,31.62,33.37,34.32,35.79,37.04,30.76,36.3
520,39,72801.0,6.7174819,31.56,33.34,34.27,35.86,36.84,30.75,36.3
521,39,72801.0,6.8323979,31.66,33.39,34.37,35.92,37.19,30.76,36.03
522,39,72801.0,6.7897202,31.73,33.35,34.46,35.78,37.49,30.77,36.31
523,39,72801.0,6.8295287,31.75,33.38,34.49,35.88,37.1,30.74,36.3
524,39,72801.0,6.8395035,31.73,33.34,34.47,35.79,36.77,30.73,36.3
525,39,72801.0,6.8971152,31.68,33.3,34.42,35.82,37.18,30.88,36.11
526,39,72801.0,6.7082235,31.68,33.29,34.38,35.88,36.95,30.84,36.21
527,39,72801.0,6.7722682,31.69,33.33,34.37,35.84,37.22,30.77,36.31
528,39,72801.0,6.7097024,31.69,33.31,34.39,35.78,36.92,30.72,36.26
529,39,72801.0,6.723509,31.68,33.3,34.38,35.75,36.78,30.74,36.31
530,39,72801.0,6.7993355,31.68,33.27,34.43,35.84,36.76,30.73,36.3
531,39,72801.0,6.6904358,31.71,33.3,34.46,35.87,37.13,30.76,36.31
532,39,72801.0,6.7685144,31.73,33.3,34.52,35.99,36.76,30.73,36.3
533,39,72801.0,6.7463871,31.73,33.31,34.53,35.84,37.12,30.75,36.3
534,39,72801.0,6.9295096,31.72,33.35,34.45,35.76,37.49,30.78,36.31
535,39,72801.0,6.7516767,31.61,33.32,34.29,35.81,37.09,30.75,36.3
536,39,72801.0,6.6128746,31.68,33.26,34.42,35.82,37.07,30.88,36.03
537,39,72801.0,6.784335,31.7,33.31,34.39,35.89,37.24,30.77,36.31
538,39,72801.0,6.6866759,31.69,33.3,34.43,35.86,36.87,30.74,36.3
539,39,72801.0,6.6365954,31.65,33.29,34.39,35.9,37.23,30.76,36.3
540,39,72801.0,6.6807286,31.69,33.31,34.43,35.73,37.41,30.76,36.3
541,39,72801.0,6.8669897,31.69,33.28,34.47,35.94,37.45,30.74,36.3
542,39,72801.0,6.6838868,31.68,33.28,34.43,35.95,37.9,30.77,36.31
543,39,72801.0,6.6766224,31.71,33.31,34.48,35.8,37.43,30.74,36.3
544,39,72801.0,6.7706301,31.66,33.29,34.44,35.7,37.72,30.7,36.12
545,39,72801.0,6.8749029,31.7,33.3,34.47,35.59,37.24,30.71,36.3
546,39,72801.0,6.709145,31.69,33.29,34.47,35.61,36.9,30.71,36.29
547,39,72801.0,7.0009799,31.69,33.33,34.41,35.7,36.63,30.71,36.29
548,39,72801.0,6.7108558,31.68,33.31,34.4,35.8,37.05,30.71,35.96
549,39,72801.0,6.7757289,31.66,33.31,34.36,35.83,36.94,30.77,35.81
550,39,72801.0,6.7646739,31.68,33.31,34.4,35.65,37.3,30.63,36.05
551,39,72801.0,6.717908,31.67,33.29,34.37,35.64,36.93,30.72,36.29
552,39,72801.0,6.6855072,31.67,33.29,34.38,35.58,37.08,30.72,36.29
553,39,72801.0,6.7645635,31.59,33.3,34.28,35.66,36.74,30.7,36.29
554,39,72801.0,6.7720228,31.71,33.35,34.43,35.76,37.02,30.8,35.75
555,39,72801.0,6.6735121,31.66,33.26,34.45,35.89,37.32,30.91,35.56
556,39,72801.0,6.7084589,31.7,33.3,34.43,35.8,37.59,30.8,36.03
557,39,72801.0,7.0172528,31.72,33.28,34.5,35.72,37.2,30.72,36.29
558,39,72801.0,6.7081388,31.71,33.27,34.49,35.74,36.87,30.71,36.29
559,39,72801.0,6.9100925,31.72,33.29,34.46,35.77,37.26,30.74,36.29
560,39,72801.0,6.8333708,31.67,33.26,34.45,35.76,36.89,30.71,36.29
561,39,72801.0,6.8300408,31.65,33.28,34.36,35.7,36.82,30.84,36.02
562,39,72801.0,6.7599003,31.67,33.24,34.44,35.73,37.23,30.88,35.81
563,39,72801.0,6.7096956,31.7,33.26,34.47,35.81,36.79,30.82,36.05
564,39,72801.0,6.7277164,31.69,33.29,34.42,35.86,37.22,30.95,35.96
565,39,72801.0,6.7993076,31.68,33.26,34.45,35.89,37.66,31.05,36.11
566,39,72801.0,6.7247213,31.62,33.26,34.37,35.82,37.2,31.0,36.06
567,39,72801.0,6.7670308,31.68,33.26,34.47,35.63,37.08,30.94,36.07
568,39,72801.0,6.6435612,31.57,33.26,34.29,35.67,36.89,30.8,36.27
569,39,72801.0,6.8256358,31.69,33.31,34.42,35.75,37.33,30.61,36.0
570,39,72801.0,6.7908965,31.7,33.3,34.47,35.69,36.96,30.73,36.29
571,39,72801.0,6.6728862,31.69,33.34,34.39,35.8,37.39,30.73,35.97
572,39,72801.0,6.7561375,31.71,33.34,34.48,35.69,36.95,30.73,36.29
573,39,72801.0,6.6942804,31.72,33.32,34.51,35.73,36.76,30.72,36.29
574,39,72801.0,6.7431124,31.67,33.33,34.38,35.78,37.11,30.75,36.3
575,39,72801.0,6.610856,31.72,33.34,34.48,35.73,36.75,30.72,36.29
576,39,72801.0,6.7100478,31.7,33.31,34.47,35.62,36.63,30.71,36.29
577,39,72801.0,7.0847166,31.7,33.37,34.41,35.64,36.98,30.74,36.3
578,39,72801.0,6.7192128,31.6,33.38,34.28,35.63,36.6,30.7,36.29
579,39,72801.0,6.6664344,31.71,33.36,34.43,35.65,36.95,30.81,36.01
580,39,72801.0,6.8325194,31.67,33.3,34.45,35.65,36.6,30.71,36.29
581,39,72801.0,6.7133784,31.68,33.35,34.4,35.67,37.0,30.69,36.01
582,39,72801.0,6.7030685,31.69,33.37,34.39,35.82,36.77,30.75,35.73
583,39,72801.0,6.752816,31.71,33.37,34.43,35.84,37.15,30.9,35.78
584,39,72801.0,6.8766575,31.72,33.34,34.48,35.89,36.87,30.8,36.27
585,39,72801.0,6.7272481,31.67,33.32,34.36,36.02,37.24,30.76,36.3
586,39,72801.0,6.6845368,31.7,33.33,34.45,35.91,36.88,30.81,36.24
587,39,72801.0,6.8300709,31.72,33.39,34.42,35.84,36.73,30.72,36.29
588,39,72801.0,6.6564796,31.74,33.42,34.45,35.92,37.06,30.74,36.26
589,39,72801.0,6.7465946,31.7,33.34,34.48,35.82,36.73,30.71,36.29
590,39,72801.0,6.832825,31.73,33.36,34.49,35.76,36.84,30.72,36.3
591,39,72801.0,6.7544443,31.68,33.35,34.36,35.75,37.14,30.73,36.27
592,39,72801.0,6.6541231,31.71,33.4,34.42,35.86,37.38,30.75,36.3
593,39,72801.0,6.6858207,31.71,33.32,34.43,35.67,37.66,30.76,36.3
594,39,72801.0,6.8093435,31.71,33.33,34.46,35.77,37.66,30.74,36.3
595,39,72801.0,6.8282498,31.72,33.29,34.5,35.67,37.23,30.71,36.29
596,39,72801.0,6.7260787,31.72,33.36,34.48,35.73,37.69,30.83,35.87
597,39,72801.0,6.6150575,31.71,33.34,34.49,35.7,37.2,30.71,36.29
598,39,72801.0,6.631887,31.71,33.34,34.48,35.79,36.86,30.68,36.28
599,39,72801.0,6.7598795,31.71,33.3,34.46,35.74,37.16,30.8,36.01
600,39,72801.0,6.7231588,31.72,33.39,34.44,35.63,37.51,30.87,36.25
601,39,72801.0,6.7030434,31.7,33.38,34.4,35.72,37.08,30.79,36.27
602,39,72801.0,6.696785,31.74,33.37,34.51,35.85,37.41,30.71,36.29
603,39,72801.0,6.8807945,31.63,33.34,34.42,35.91,37.02,30.7,36.29
604,39,72801.0,6.6572681,31.75,33.37,34.53,35.76,37.46,30.8,36.27
605,39,72801.0,6.7350886,31.74,33.38,34.48,35.8,37.79,30.84,35.84
606,39,72801.0,6.6456744,31.72,33.35,34.46,35.8,37.25,30.71,36.3
607,39,72801.0,6.6806936,31.73,33.3,34.52,35.86,36.85,30.7,36.3
608,39,72801.0,6.7458243,31.7,33.3,34.48,35.76,36.57,30.7,36.3
609,39,72801.0,6.6735493,31.69,33.26,34.46,35.86,37.01,30.78,35.76
610,39,72801.0,6.8739938,31.71,33.33,34.44,35.89,37.36,30.74,36.3
611,39,72801.0,6.7065819,31.68,33.33,34.4,35.72,37.82,30.77,36.31
612,39,72801.0,6.6542607,31.73,33.33,34.51,35.65,37.36,30.74,36.31
613,39,72801.0,6.8322222,31.6,33.33,34.28,35.72,36.97,30.73,36.3
614,39,72801.0,6.7692933,31.72,33.3,34.46,35.81,37.38,30.76,36.31
615,39,72801.0,6.6983435,31.71,33.35,34.43,35.87,37.13,30.73,36.3
616,39,72801.0,6.6472331,31.72,33.28,34.5,35.9,36.73,30.71,36.3
617,39,72801.0,6.728424,31.73,33.35,34.46,35.93,37.12,30.73,36.3
618,39,72801.0,6.7248807,31.69,33.29,34.49,35.81,37.45,30.81,35.93
619,39,72801.0,6.6633221,31.71,33.33,34.43,35.67,37.14,30.73,36.31
620,39,72801.0,6.8129056,31.72,33.35,34.44,35.78,37.55,30.84,35.81
621,39,72801.0,6.6880263,31.72,33.3,34.49,35.87,37.06,30.72,36.3
622,39,72801.0,6.6856313,31.71,33.29,34.5,35.72,37.51,30.75,36.31
623,39,72801.0,6.8251706,31.52,33.22,34.31,35.69,37.06,30.72,36.3
624,39,72801.0,6.7879486,31.7,33.3,34.47,35.74,36.72,30.71,36.3
625,39,72801.0,6.7294311,31.66,33.29,34.44,35.85,37.02,30.68,35.92
626,39,72801.0,6.6334446,31.69,33.3,34.45,35.87,37.46,30.94,36.08
627,39,72801.0,6.7225341,31.58,33.27,34.26,35.85,37.03,30.8,36.04
628,39,72801.0,6.7628984,31.69,33.33,34.41,35.67,37.37,30.82,36.05
629,39,72801.0,6.6846856,31.7,33.34,34.41,35.72,36.94,30.73,36.3
630,39,72801.0,6.6796964,31.7,33.32,34.43,35.83,37.42,30.87,35.9
631,39,72801.0,6.6433315,31.68,33.33,34.4,35.74,36.95,30.73,36.3
632,39,72801.0,6.7258763,31.7,33.32,34.43,35.78,37.36,30.75,36.31
633,39,72801.0,6.705539,31.67,33.25,34.47,35.87,37.48,30.74,36.31
634,39,72801.0,6.6943499,31.71,33.27,34.51,35.8,37.06,30.72,36.3
635,39,72801.0,6.6837414,31.71,33.34,34.44,35.87,37.5,30.81,35.85
636,39,72801.0,6.6987073,31.72,33.28,34.51,35.83,37.05,30.71,36.3
637,39,72801.0,6.5932863,31.71,33.34,34.44,35.89,37.19,30.85,36.06
638,39,72801.0,6.7860064,31.72,33.32,34.5,35.83,36.76,30.69,36.25
639,39,72801.0,6.7490777,31.71,33.33,34.47,35.94,37.13,30.82,36.28
640,39,72801.0,6.7289336,31.71,33.32,34.49,35.75,37.6,30.87,35.89
641,39,72801.0,6.6849377,31.72,33.35,34.46,35.89,38.07,31.02,35.68
642,39,72801.0,6.755473,31.61,33.27,34.33,36.19,37.56,30.87,36.11
643,39,72801.0,6.9649589,31.75,33.31,34.54,36.11,37.09,30.73,36.3
644,39,72801.0,6.8389096,31.74,33.3,34.54,36.26,37.5,30.75,36.31
645,39,72801.0,6.7155773,31.74,33.34,34.49,36.26,37.95,30.78,36.31
646,39,72801.0,6.9341222,31.75,33.39,34.49,36.1,37.48,30.75,36.31
647,39,72801.0,6.6814884,31.72,33.35,34.46,35.9,37.93,30.85,36.29
648,39,72801.0,6.7954374,31.73,33.33,34.52,35.88,37.47,30.74,36.3
649,39,72801.0,6.7311551,31.61,33.4,34.28,35.97,37.04,30.71,36.3
650,39,72801.0,6.7518476,31.71,33.39,34.46,36.06,37.46,30.84,36.07
651,39,72801.0,6.7878,31.69,33.35,34.45,36.18,37.04,30.71,36.3
652,39,72801.0,6.7017037,31.67,33.27,34.49,36.2,37.47,30.74,36.3
653,39,72801.0,6.7129985,31.7,33.31,34.52,36.13,37.05,30.72,36.3
654,39,72801.0,6.7675786,31.72,33.32,34.55,36.15,36.7,30.7,36.3
655,39,72801.0,6.657519,31.72,33.35,34.49,36.1,37.15,30.79,35.75
656,39,72801.0,6.7361419,31.67,33.25,34.51,35.97,37.49,30.75,36.3
657,39,72801.0,6.6068818,31.68,33.29,34.47,35.89,37.65,30.73,36.3
658,39,72801.0,6.6884139,31.68,33.31,34.42,35.95,37.2,30.71,36.29
659,39,72801.0,6.7778978,31.66,33.28,34.44,35.8,37.66,30.74,36.3
660,39,72801.0,6.7340062,31.65,33.31,34.37,35.91,37.52,30.85,35.88
661,39,72801.0,6.6322833,31.64,33.34,34.36,35.78,37.04,30.72,36.3
662,39,72801.0,6.6830303,31.67,33.31,34.44,35.84,37.46,30.75,36.3
663,39,72801.0,6.7510648,31.68,33.33,34.43,35.98,37.91,30.84,36.25
664,39,72801.0,6.6394061,31.67,33.35,34.39,35.93,37.44,30.74,36.3
665,39,72801.0,6.639142,31.68,33.33,34.43,36.16,37.04,30.72,36.3
666,39,72801.0,6.7653874,31.7,33.33,34.48,35.91,37.46,30.75,36.28
667,39,72801.0,6.6124844,31.7,33.34,34.46,36.02,37.97,30.9,36.08
668,39,72801.0,6.7195394,31.7,33.39,34.41,36.07,37.45,30.75,36.31
669,39,72801.0,6.8631579,31.72,33.35,34.49,36.01,37.05,30.74,36.31
670,39,72801.0,6.7603674,31.71,33.26,34.51,36.12,37.53,30.86,35.89
671,39,72801.0,6.8069601,31.71,33.36,34.44,36.16,37.05,30.74,36.31
672,39,72801.0,6.6210252,31.72,33.32,34.51,36.06,37.49,30.74,36.31
673,39,72801.0,6.6915186,31.66,33.3,34.44,36.06,37.03,30.73,36.3
674,39,72801.0,6.7256723,31.71,33.3,34.5,36.03,37.45,30.75,36.31
675,39,72801.0,6.6755394,31.7,33.28,34.55,36.03,37.03,30.73,36.31
676,39,72801.0,6.7514025,31.72,33.3,34.51,36.04,36.75,30.74,36.31
677,39,72801.0,6.8884839,31.73,33.3,34.53,36.0,37.17,30.86,36.11
678,39,72801.0,6.6118385,31.73,33.33,34.52,35.98,37.19,31.0,35.81
679,39,72801.0,6.7542633,31.73,33.33,34.53,36.07,37.57,30.95,35.75
680,39,72801.0,6.7073323,31.69,33.34,34.43,36.01,37.14,30.82,36.05
681,39,72801.0,6.7531238,31.73,33.31,34.53,36.17,36.89,30.74,36.3
682,39,72801.0,6.700794,31.7,33.29,34.49,36.0,37.21,30.78,36.3
683,39,72801.0,6.742446,31.7,33.27,34.48,35.98,37.24,30.84,35.85
684,39,72801.0,6.8081709,31.59,33.2,34.41,36.12,37.53,30.99,35.84
685,39,72801.0,6.7300489,31.67,33.24,34.52,35.95,37.08,30.87,36.07
686,39,72801.0,6.7678703,31.69,33.22,34.49,36.02,37.36,30.77,36.31
687,39,72801.0,6.8035949,31.58,33.2,34.39,35.96,37.6,30.77,36.32
688,39,72801.0,6.8064095,31.71,33.28,34.51,36.02,37.89,30.88,36.23
689,39,72801.0,6.7689893,31.7,33.33,34.45,36.0,37.4,30.74,36.31
