X [m],Y [m]
11743.575,15101.695
11783.52,15101.695
11823.464,15101.695
10265.642,15061.424
10305.587,15061.424
10345.531,15061.424
10385.475,15061.424
10425.419,15061.424
10465.363,15061.424
10505.307,15061.424
10545.251,15061.424
10585.196,15061.424
10625.14,15061.424
10665.084,15061.424
10705.028,15061.424
10744.972,15061.424
10784.916,15061.424
10824.86,15061.424
10864.804,15061.424
10904.749,15061.424
10944.693,15061.424
10984.637,15061.424
11024.581,15061.424
11064.525,15061.424
11104.469,15061.424
11144.413,15061.424
11184.358,15061.424
11224.302,15061.424
11264.246,15061.424
11304.19,15061.424
11344.134,15061.424
11384.078,15061.424
11424.022,15061.424
11463.966,15061.424
11503.911,15061.424
11543.855,15061.424
11583.799,15061.424
11623.743,15061.424
11663.687,15061.424
11703.631,15061.424
11743.575,15061.424
11783.52,15061.424
11823.464,15061.424
10265.642,15021.153
10305.587,15021.153
10345.531,15021.153
10385.475,15021.153
10425.419,15021.153
10465.363,15021.153
10505.307,15021.153
10545.251,15021.153
10585.196,15021.153
10625.14,15021.153
10665.084,15021.153
10705.028,15021.153
10744.972,15021.153
10784.916,15021.153
10824.86,15021.153
10864.804,15021.153
10904.749,15021.153
10944.693,15021.153
10984.637,15021.153
11024.581,15021.153
11064.525,15021.153
11104.469,15021.153
11144.413,15021.153
11184.358,15021.153
11224.302,15021.153
11264.246,15021.153
11304.19,15021.153
11344.134,15021.153
11384.078,15021.153
11424.022,15021.153
11463.966,15021.153
11503.911,15021.153
11543.855,15021.153
11583.799,15021.153
11623.743,15021.153
11663.687,15021.153
11703.631,15021.153
11743.575,15021.153
11783.52,15021.153
11823.464,15021.153
10225.698,14980.881
10265.642,14980.881
10305.587,14980.881
10345.531,14980.881
10385.475,14980.881
10425.419,14980.881
10465.363,14980.881
10505.307,14980.881
10545.251,14980.881
10585.196,14980.881
10625.14,14980.881
10665.084,14980.881
10705.028,14980.881
10744.972,14980.881
10784.916,14980.881
10824.86,14980.881
10864.804,14980.881
10904.749,14980.881
10944.693,14980.881
10984.637,14980.881
11024.581,14980.881
11064.525,14980.881
11104.469,14980.881
11144.413,14980.881
11184.358,14980.881
11224.302,14980.881
11264.246,14980.881
11304.19,14980.881
11344.134,14980.881
11384.078,14980.881
11424.022,14980.881
11463.966,14980.881
11503.911,14980.881
11543.855,14980.881
11583.799,14980.881
11623.743,14980.881
11663.687,14980.881
11703.631,14980.881
11743.575,14980.881
11783.52,14980.881
11823.464,14980.881
10225.698,14940.61
10265.642,14940.61
10305.587,14940.61
10345.531,14940.61
10385.475,14940.61
10425.419,14940.61
10465.363,14940.61
10505.307,14940.61
10545.251,14940.61
10585.196,14940.61
10625.14,14940.61
10665.084,14940.61
10705.028,14940.61
10744.972,14940.61
10784.916,14940.61
10824.86,14940.61
10864.804,14940.61
10904.749,14940.61
10944.693,14940.61
10984.637,14940.61
11024.581,14940.61
11064.525,14940.61
11104.469,14940.61
